alpha,gamma,h,T_max,seed,N,loss_final,err_vs_yext_inf,residual_inf,residual_int_inf,residual_full_inf,L1_consistency_err,iters_adam,wall_time_s
1.2,3.2,0.1,30.0,2,300,8.487925959614691e-07,0.0373647672767049,0.008802164289680503,0.008802164289680503,0.008802164289680503,0.12384636845738961,8000,5.773138046264648
1.2,3.2,0.1,30.0,3,300,7.928569627830998e-07,0.03878690556625386,0.008175976651156103,0.008175976651156103,0.008175976651156103,0.12384636845738961,8000,6.070090055465698
1.2,3.2,0.1,30.0,4,300,8.030869671177132e-07,0.03813956954695408,0.008438165855663371,0.008438165855663371,0.008438165855663371,0.12384636845738961,8000,5.796430826187134
1.2,3.2,0.05,30.0,0,600,8.026189906477803e-08,0.02063516131878712,0.003380520576346524,0.003380520576346524,0.003380520576346524,0.0733813907001275,8000,8.539005994796753
1.2,3.2,0.05,30.0,1,600,7.324602359269382e-08,0.019430756250694292,0.0030207959162579234,0.0030207959162579234,0.0030207959162579234,0.0733813907001275,8000,8.835969686508179
1.2,3.2,0.05,30.0,2,600,6.887676398142254e-08,0.019253086813981968,0.003045637159629133,0.003045637159629133,0.003045637159629133,0.0733813907001275,8000,8.546531677246094
1.2,3.2,0.05,30.0,3,600,7.757976808530522e-08,0.020478904133097275,0.0033063011097718142,0.0033063011097718142,0.0033063011097718142,0.0733813907001275,8000,8.55286717414856
1.2,3.2,0.05,30.0,4,600,6.353599937727376e-08,0.01955234191520433,0.0029955873321192428,0.0029955873321192428,0.0029955873321192428,0.0733813907001275,8000,8.560308933258057
1.2,3.2,0.025,30.0,0,1200,3.4640468620520435e-09,0.010808802582490007,0.001132857544581256,0.001132857544581256,0.001132857544581256,0.038886292176593784,8000,19.92033624649048
1.2,3.2,0.025,30.0,1,1200,3.121534232634178e-09,0.00995648473572358,0.0010133838629208247,0.0010133838629208247,0.0010133838629208247,0.038886292176593784,8000,26.49699091911316
1.2,3.2,0.025,30.0,2,1200,2.2190082693725832e-09,0.009643108183557014,0.000882808960096293,0.000882808960096293,0.000882808960096293,0.038886292176593784,8000,20.14707088470459
1.2,3.2,0.025,30.0,3,1200,3.6059989626376028e-09,0.010741123442674305,0.0011448124693491657,0.0011448124693491657,0.0011448124693491657,0.038886292176593784,8000,20.230350971221924
1.2,3.2,0.025,30.0,4,1200,2.5662042227134567e-09,0.01007793761638004,0.0009852072311665738,0.0009852072311665738,0.0009852072311665738,0.038886292176593784,8000,20.256115913391113
1.2,3.2,0.0125,30.0,0,2400,1.4709793177177966e-09,0.005815360326867081,0.0006244155560114484,0.0006244155560114484,0.0006244155560114484,0.01979312537384148,8000,74.18181991577148
1.2,3.2,0.0125,30.0,1,2400,1.7493895388752322e-09,0.005256112357620912,0.0005833457096494632,0.0005833457096494632,0.0005833457096494632,0.01979312537384148,8000,96.62726616859436
1.2,3.2,0.0125,30.0,2,2400,8.253374702401068e-10,0.004683545793077948,0.00036139970078585826,0.00036139970078585826,0.00036139970078585826,0.01979312537384148,8000,73.3447048664093
1.2,3.2,0.0125,30.0,3,2400,1.5926563785733473e-09,0.005776369171226203,0.0006322341923579167,0.0006322341923579167,0.0006322341923579167,0.01979312537384148,8000,73.3334448337555
1.2,3.2,0.0125,30.0,4,2400,8.926390999834512e-10,0.00513690379582421,0.0005305299138881336,0.0005305299138881336,0.0005305299138881336,0.01979312537384148,8000,74.14494204521179
1.2,3.7,0.4,30.0,0,75,0.0003669446269045612,0.11492752974190382,0.08538123336748277,0.08538123336748277,0.08538123336748277,0.23210766897787471,8000,3.9537360668182373
1.2,3.7,0.4,30.0,1,75,0.0003664525056316445,0.11245029145335803,0.08524733168713622,0.08524733168713622,0.08524733168713622,0.23210766897787471,8000,3.9119858741760254
